User,Video,Time,Topic,Description
2.63787E+11,WhatsApp Video 2024-04-20 at 08.44.04_3f0ac623,2,Home Life, Everyday Life
2.63787E+11,WhatsApp Video 2024-04-20 at 08.44.04_3f0ac623,2,Technology, Aerospace
2.63787E+11,WhatsApp Video 2024-04-20 at 08.44.04_3f0ac623,2,Education and Campus, Back to School
2.63787E+11,WhatsApp Video 2024-04-20 at 08.44.04_3f0ac623,12,Education and Campus, Video Technology;  Education and Campus;  College Life;  Outfit Recommendations;  Social Media;  Street Style
2.63787E+11,WhatsApp Video 2024-04-20 at 08.44.04_3f0ac623,18,Outfit Recommendations, Medical Health;  How to Create a Glasses and Frames Wardrobe;  How to Create a Formal Wardrobe;  Fashionable Outfits;  How to Create a Sunglasses and Accessories Wardrobe;  How to Style Outfits for Different Occasions;  How to Create a Petite Wardrobe;  Fashion Ideas;  How to Create a Shorts and Accessories Wardrobe;  Fashion Advice;  Humor/Sarcasm;  Entertainment Technology;  How to Create a Transition Wardrobe;  How to Create a Casual Wardrobe;  How to Create a Sustainable Wardrobe;  Fashion Inspiration;  How to Create a Kid's Wardrobe;  How to Create a Travel Wardrobe;  How to Create a Jewelry and Accessories Wardrobe;  How to Create a Wardrobe;  How to Create a Plus Size Wardrobe;  How to Create a Ties and Accessories Wardrobe;  How to Create a Women's Wardrobe;  How to Create a Men's Wardrobe;  How to Create a Watch and Accessories Wardrobe;  How to Create a Man's Accessories Wardrobe;  How to Create a Teen Wardrobe;  How to Create a Work Wardrobe;  How to Dress for Your Body Type;  How to Build a Capsule Wardrobe;  Mobile Technology;  How to Create a Swimwear and Accessories Wardrobe;  Social Media;  How to Dress for Your Shape;  How to Create a Shoe Wardrobe;  How to Create a Socks and Hose Wardrobe;  Campus Life;  How to Create a Hat and Accessories Wardrobe;  Social Media;  How to Create a Belt and Scarf Wardrobe;  Style Inspiration;  How to Create a Personal Style;  How to Create a Woman's Accessories Wardrobe;  How to Create a Maternity Wardrobe;  How to Create a Handbag Wardrobe;  Fashion Trends;  How to Dress for Your Age;  How to Create a Belt and Suspenders Wardrobe;  How to Create a Shorts and Tank Top Wardrobe
2.63787E+11,WhatsApp Video 2024-04-20 at 08.44.04_3f0ac623,2,Social and Political News, News Reporting
2.63787E+11,WhatsApp Video 2024-04-20 at 08.44.04_3f0ac623,4,Travel, Public Transportation;  Transportation
2.63787E+11,WhatsApp Video 2024-04-20 at 08.44.04_3f0ac623,2,Travel, Fashion on Public Transportation
2.63787E+11,WhatsApp Video 2024-04-20 at 08.44.04_3f0ac623,4,Food, Kitchen Technology;  Food
2.63787E+11,WhatsApp Video 2024-04-20 at 08.44.04_3f0ac623,10,Satirical Parody, Food;  Popular Science;  Product Feature;  Product Review;  Gadgets;  Satirical Parody
2.63787E+11,WhatsApp Video 2024-04-20 at 08.44.04_3f0ac623,16,Satirical Parody, Technology Trends;  Technology Review;  Microphone;  Technology News;  Food Review;  Street Interviews;  Electronics;  Workplace Communication;  Communication;  Satirical Parody
2.63787E+11,WhatsApp Video 2024-04-20 at 08.44.04_3f0ac623,4,Outfit Recommendations, Fashion Trends;  Fashion Show
2.63787E+11,WhatsApp Video 2024-04-20 at 08.44.04_3f0ac623,2,Food, Cooking and Recipes
2.63787E+11,WhatsApp Video 2024-04-20 at 08.44.04_3f0ac623,2,Product Review, Business Settings
2.63787E+11,WhatsApp Video 2024-04-20 at 08.44.04_3f0ac623,12,Creative Editing/Dubbing, Fashion Hacks;  Kitchen Tools;  Food;  Safety and Tools;  Communication Skills;  Homemade Learning Tools;  Cooking/Culinary
2.63787E+11,WhatsApp Video 2024-04-20 at 08.44.04_3f0ac623,4,Satirical Parody, Satirical Parody;  Fashion Trends
2.63787E+11,WhatsApp Video 2024-04-20 at 08.44.04_3f0ac623,2,Technology, Mobile Devices
2.63787E+11,WhatsApp Video 2024-06-04 at 08.37.06_a021cda5,4,Outfit Recommendations, Outfit Recommendations;  Product Review;  Live Streaming
2.63787E+11,WhatsApp Video 2024-06-04 at 08.37.06_a021cda5,2,Product Review, Product Review
2.63787E+11,WhatsApp Video 2024-06-04 at 08.37.06_a021cda5,2,Satirical Parody, Fashion Photography;  Skit Comedy
2.63787E+11,WhatsApp Video 2024-06-04 at 08.37.06_a021cda5,4,Street Interviews, Street Interviews;  Mobile Phones
2.63787E+11,WhatsApp Video 2024-06-04 at 08.37.06_a021cda5,2,Outfit Recommendations, Fashion Street Style
2.63787E+11,WhatsApp Video 2024-06-04 at 08.37.06_a021cda5,2,Workplace/Interpersonal Relationships, Social Interaction
2.63787E+11,WhatsApp Video 2024-06-04 at 08.37.06_a021cda5,2,Technology, Gadgets
2.63787E+11,WhatsApp Video 2024-06-04 at 08.37.06_a021cda5,2,Education and Campus, Study Tips
2.63787E+11,WhatsApp Video 2024-06-04 at 08.37.06_a021cda5,10,Local Culture and Tourism, Current Events;  Historical Sites;  Fashion Direction;  Plot Analysis;  Gadgets/Electronics;  Food Trends;  Popular Science;  Camera;  Street Art;  Voice Acting;  Dance Styles
2.63787E+11,WhatsApp Video 2024-06-04 at 08.37.06_a021cda5,10,Street Interviews, Street Interviews;  Humorous Signs;  Street Interviews;  Photography Equipment;  Street Interviews
2.63787E+11,WhatsApp Video 2024-06-04 at 08.37.06_a021cda5,2,Games, Mobile Gaming
2.63787E+11,WhatsApp Video 2024-06-04 at 08.37.06_a021cda5,12,Outfit Recommendations, Communication;  Popular Science;  Fashion Talk;  Style Tips
2.63787E+11,WhatsApp Video 2024-06-04 at 08.37.06_a021cda5,6,Satirical Parody, Satirical Parody;  Technology;  Personal Technology;  Outfit Recommendations
2.63787E+11,WhatsApp Video 2024-06-04 at 08.37.06_a021cda5,2,Outfit Recommendations, Fashion Trends
2.63787E+11,WhatsApp Video 2024-06-04 at 08.37.06_a021cda5,4,Celebrity Entertainment, Entertainment/Hobbies/Leisure Time;  Entertainment/Recreation
2.63787E+11,WhatsApp Video 2024-06-04 at 08.37.06_a021cda5,8,Art Creation, College Life;  Artistic Editing;  Fashion Photography;  Vlog/Insights Sharing;  Fashion Showcase
2.63787E+11,WhatsApp Video 2024-06-04 at 08.37.06_a021cda5,2,Landscape Photography, Fashion Photography
2.63787E+11,WhatsApp Video 2024-06-04 at 08.37.06_a021cda5,2,Landscape Photography, Fashion Photography
2.63787E+11,WhatsApp Video 2024-06-04 at 08.37.06_a021cda5,2,Outfit Recommendations, Fashion Inspiration;  Emergency Services
2.63787E+11,WhatsApp Video 2024-06-04 at 08.37.06_a021cda5,6,Games, Gameplay/Streaming;  Gaming;  Others
2.63787E+11,WhatsApp Video 2024-06-04 at 08.37.06_a021cda5,2,Product Review, Car Model Review;  Product Review
2.63787E+11,WhatsApp Video 2024-06-04 at 08.37.06_a021cda5,8,Street Interviews, Video Calls;  Communication;  Fashion on Video Call;  Fashion Tips;  Communication Skills
2.63787E+11,WhatsApp Video 2024-06-04 at 08.37.06_a021cda5,4,Satirical Parody, Electronic Devices;  Satirical Parody
2.63787E+11,WhatsApp Video 2024-06-04 at 08.37.06_a021cda5,4,Outfit Recommendations, Tutorials and How-Tos;  Others;  Fashion and Beauty Tips
2.63787E+11,WhatsApp Video 2024-06-04 at 08.37.06_a021cda5,16,Workplace/Interpersonal Relationships, Leadership and Management;  Movie Commentary;  Performance;  Performance Art;  Live Performance;  Workplace Culture;  Workplace Communication;  Singing
2.63787E+11,WhatsApp Video 2024-06-04 at 08.37.06_a021cda5,14,Satirical Parody, Creative Works;  Fashion Show;  Music Education;  Fashion Photography;  Music Performance;  Satirical Parody
2.63787E+11,WhatsApp Video 2024-06-04 at 08.37.06_a021cda5,2,Movie Commentary, Movie Analysis;  Workplace Communication
2.63787E+11,WhatsApp Video 2024-06-04 at 08.37.06_a021cda5,4,Home Life, Roommates;  Lifestyle
2.63787E+11,WhatsApp Video 2024-06-04 at 08.37.06_a021cda5,20,Music, Music Therapy;  Performance;  Music Therapy;  Creative Editing/Dubbing;  Music Education;  Live Performance;  Music and Entertainment;  Performance;  Music Performance;  Music
2.63787E+11,WhatsApp Video 2024-06-04 at 08.37.06_a021cda5,10,Satirical Parody, Relationships with Coworkers/Colleagues;  Education and Campus Life;  Photography;  Street Interviews;  Satirical Parody
2.63787E+11,WhatsApp Video 2024-06-04 at 08.37.06_a021cda5,10,Satirical Parody, Medical Health;  Satirical Parody;  Street Interviews;  Outfit Recommendations;  Electronics
2.63787E+11,WhatsApp Video 2024-06-04 at 08.37.06_a021cda5,2,Fitness and Beauty, Relaxation and Stress Management
2.63787E+11,WhatsApp Video 2024-06-06 at 12.19.23_94a7ea17,12,Outfit Recommendations, Fashion Show/Model;  Personal Style/Favorite Outfits;  Music;  Campus Life;  Social Media Platforms;  Social Media/Apps;  Communication
2.63787E+11,WhatsApp Video 2024-06-06 at 12.19.23_94a7ea17,2,Technology, Electronic Devices
2.63787E+11,WhatsApp Video 2024-06-06 at 12.19.23_94a7ea17,2,Outfit Recommendations, Fashion Advice
2.63787E+11,WhatsApp Video 2024-06-06 at 12.19.23_94a7ea17,4,Creative Editing/Dubbing, Creative Editing/Dubbing;  Communication Skills
2.63787E+11,WhatsApp Video 2024-06-06 at 12.19.23_94a7ea17,10,Fitness and Beauty, University Life;  Travel;  Career/Professional Development;  Filmmaking Tips;  Cooking/Food Preparation;  Voiceovers;  Student Life;  College Life;  Fashion Trends;  Health and Wellness;  Fashion and Beauty Influencer;  Personal Vlogs;  Destination Recommendations
2.63787E+11,WhatsApp Video 2024-06-06 at 12.19.23_94a7ea17,10,Workplace/Interpersonal Relationships,Others;  Social Media Interactions;  Happiness Attack in the Workplace/Interpersonal Relationships;  Social Media;  Humor/Satire;  Personal Experiences
2.63787E+11,WhatsApp Video 2024-06-06 at 12.19.23_94a7ea17,2,Social and Political News, Social Media
2.63787E+11,WhatsApp Video 2024-06-06 at 12.19.23_94a7ea17,2,Technology, Technology in the Workplace;  Cooking/Food Preparation;  Food and Cooking
2.63787E+11,WhatsApp Video 2024-06-06 at 12.19.23_94a7ea17,20,Workplace/Interpersonal Relationships, Conflict Resolution;  Humor;  College Life;  Workplace Conflicts;  Relationships in Daily Life;  Viral Content;  Social Media Interactions;  Social Media;  Social Media and Streaming Services;  Social Media;  Technology and Relationships;  Relationships;  Science Experiment;  Fashion Showcase
2.63787E+11,WhatsApp Video 2024-06-06 at 12.19.23_94a7ea17,16,Social and Political News, Viral Challenges;  Social Media Challenges;  Fashion Challenges;  Social Media;  Challenges;  Fashion in Education;  Fashion Challenges
2.63787E+11,WhatsApp Video 2024-06-06 at 12.19.23_94a7ea17,8,Workplace/Interpersonal Relationships, Mobile Devices;  Workplace/Interpersonal Relationships;  Mobile Phones and Accessories;  Mobile Phones
2.63787E+11,WhatsApp Video 2024-06-06 at 12.19.23_94a7ea17,2,Technology, Mobile Phones
2.63787E+11,WhatsApp Video 2024-06-06 at 12.19.23_94a7ea17,10,Outfit Recommendations, Medical Health;  Travel; ; ;  Vlog/Insights Sharing;  Education and Campus;  Food;  Landscape Photography;  Technology;  Skill Sharing;  Fitness and Beauty; ;  Art Creation;  Social and Political News;  Dance;  Cute Pets;  Street Interviews;  Team Building;  Popular Science;  Outfit Recommendations; ; ; ;  Music;  Film/Variety Editing;  Workplace/Interpersonal Relationships;  Product Review;  Medical Health;  Home Life;  Satirical Parody;  Outfit Recommendations;  Popular Science;  Public Service Advertising
2.63787E+11,WhatsApp Video 2024-06-06 at 12.19.23_94a7ea17,2,Landscape Photography, Fashion Photography
2.63787E+11,WhatsApp Video 2024-06-06 at 12.19.23_94a7ea17,12,Outfit Recommendations, Personal Style;  Budget-Friendly Fashion;  Color Coordination;  Accessories;  Friendship;  Trendy Looks;  Capsule Wardrobe;  Fashion Inspiration;  Plus-Size Fashion;  Friendship;  Style Tips;  Wardrobe Planning;  Friendship;  Clothing Accessories;  Style for Different Occasions
2.63787E+11,WhatsApp Video 2024-06-06 at 12.19.23_94a7ea17,4,Dance, Leadership
2.63787E+11,WhatsApp Video 2024-06-06 at 12.19.23_94a7ea17,2,Outfit Recommendations, Fashion Show
2.63787E+11,WhatsApp Video 2024-06-06 at 12.19.23_94a7ea17,12,Outfit Recommendations, Outfit Recommendations;  Face Masks;  Popular Science;  Food Culture and Traditions;  Fashion Photography;  Technology in Daily Life;  Campus Life
2.63787E+11,WhatsApp Video 2024-06-06 at 12.19.23_94a7ea17,2,Technology, Technology News
2.63787E+11,WhatsApp Video 2024-06-06 at 12.19.23_94a7ea17,4,Product Review, Product Review;  Technology
2.63787E+11,WhatsApp Video 2024-06-06 at 12.19.23_94a7ea17,2,Workplace/Interpersonal Relationships, Social Interaction
2.63787E+11,WhatsApp Video 2024-06-06 at 12.19.23_94a7ea17,2,Technology, Technology in Daily Life
2.63787E+11,WhatsApp Video 2024-06-06 at 12.19.23_94a7ea17,2,Satirical Parody, Fashion Satire;  Fashion Tips
2.63787E+11,WhatsApp Video 2024-06-06 at 12.19.23_94a7ea17,2,Education and Campus, Campus Life
2.63787E+11,WhatsApp Video 2024-06-06 at 12.19.23_94a7ea17,12,Technology, Kitchen Technology;  Kitchen Technology;  Food
2.63787E+11,WhatsApp Video 2024-06-06 at 12.19.23_94a7ea17,2,Travel, Transportation
2.63787E+11,WhatsApp Video 2024-06-06 at 12.19.23_94a7ea17,4,Animation/Anime, Gadgets;  Fashion in Video
2.63787E+11,WhatsApp Video 2024-06-06 at 12.19.23_94a7ea17,6,Workplace/Interpersonal Relationships, Team Building/Teamwork;  Educational/Informational Video;  Transportation;  Food
2.63787E+11,WhatsApp Video 2024-06-06 at 12.19.23_94a7ea17,10,Popular Science, Transportation;  Medical Health;  Transportation;  Popular Science;  Wildlife Encounters
2.63787E+11,WhatsApp Video 2024-06-06 at 12.19.23_94a7ea17,2,Landscape Photography, Fashion Photography;  Montage
2.63787E+11,WhatsApp Video 2024-04-18 at 06.25.33_298555f4,6,Satirical Parody, Social Media Platforms;  Satirical Parody;  Mobile Devices
2.63787E+11,WhatsApp Video 2024-04-18 at 06.25.33_298555f4,4,Technology, Personal Electronics;  Education/Campus Life
2.63787E+11,WhatsApp Video 2024-04-18 at 06.25.33_298555f4,2,Education and Campus, Campus Life
2.63787E+11,WhatsApp Video 2024-04-18 at 06.25.33_298555f4,2,Travel, Transportation
2.63787E+11,WhatsApp Video 2024-04-18 at 06.25.33_298555f4,2,Social and Political News, Social Media and Viral Content
2.63787E+11,WhatsApp Video 2024-04-18 at 06.25.33_298555f4,2,Art Creation, Creativity and Art
2.63787E+11,WhatsApp Video 2024-04-18 at 06.25.33_298555f4,2,Technology, Technology in Media
2.63787E+11,WhatsApp Video 2024-04-18 at 06.25.33_298555f4,10,Animation/Anime, Animation/Anime;  Mobile Technology;  Animation/Anime;  Social Media and Streaming
2.63787E+11,WhatsApp Video 2024-04-18 at 06.25.33_298555f4,2,Social and Political News, Social Media
2.63787E+11,WhatsApp Video 2024-04-18 at 06.25.33_298555f4,2,Workplace/Interpersonal Relationships, Workplace Dynamics
2.63787E+11,WhatsApp Video 2024-04-18 at 06.25.33_298555f4,10,Short Skits, Short Skits;  Workplace Culture;  Fashion Inspiration;  Social Media;  Fashion Showcase;  Trending Clothing;  Comical Skits
2.63787E+11,WhatsApp Video 2024-04-18 at 06.25.33_298555f4,6,Landscape Photography, Social Media;  Photography;  Fashion Photography
2.63787E+11,WhatsApp Video 2024-04-18 at 06.25.33_298555f4,4,Outfit Recommendations, Christianity;  Outfit Recommendations;  Spiritual/Motivational
2.63787E+11,WhatsApp Video 2024-04-18 at 06.25.33_298555f4,2,Workplace/Interpersonal Relationships, Employee Life/Productivity
2.63787E+11,WhatsApp Video 2024-04-18 at 06.25.33_298555f4,2,Education and Campus, Religious Education
2.63787E+11,WhatsApp Video 2024-04-18 at 06.25.33_298555f4,8,Satirical Parody, Fashion Trends;  Parenting and Family;  Satirical Parody;  Workplace Culture
2.63787E+11,WhatsApp Video 2024-04-18 at 06.25.33_298555f4,4,Landscape Photography, Fashion Photography;  Student Life
2.63787E+11,WhatsApp Video 2024-04-18 at 06.25.33_298555f4,4,Medical Health, Medical Health;  Relationships with colleagues/peers
2.63787E+11,WhatsApp Video 2024-04-18 at 06.25.33_298555f4,6,Satirical Parody, Personality/Emotions;  Humor and Laughter;  Humor
2.63787E+11,WhatsApp Video 2024-04-18 at 06.25.33_298555f4,6,Popular Science, Popular Science;  Others;  Gadgets and Accessories
2.63787E+11,WhatsApp Video 2024-04-18 at 06.25.33_298555f4,4,Medical Health, Medical Health;  Car Comparison
2.63787E+11,WhatsApp Video 2024-04-18 at 06.25.33_298555f4,6,Outfit Recommendations, Gadgets;  Productivity and Time Management;  Casual Outfits
2.63787E+11,WhatsApp Video 2024-04-18 at 06.25.33_298555f4,2,Technology, Kitchen Appliances
2.63787E+11,WhatsApp Video 2024-04-18 at 06.25.33_298555f4,6,Art Creation, Wildlife Photography;  Creative Editing/Dubbing;  Trends to Try;  Fashion Inspiration;  Style Ideas
2.63787E+11,WhatsApp Video 2024-04-18 at 06.25.33_298555f4,8,Medical Health, Medical Health;  Workplace Dynamics;  Campus Life;  Pets and Technology
2.63787E+11,WhatsApp Video 2024-04-18 at 06.25.33_298555f4,8,Satirical Parody, Product Review;  Family and Work Life Balance;  POV Videos;  Fashion and Style Tips;  Product Features;  Satirical Parody
2.63787E+11,WhatsApp Video 2024-04-18 at 06.25.33_298555f4,12,Outfit Recommendations, Babysitting;  Fashion Trends;  Education/Campus Life; ;  Technology for Babies;  Child Development
2.63787E+11,WhatsApp Video 2024-04-18 at 06.25.33_298555f4,6,Outfit Recommendations, Pet-Related Technology;  Fashion Photography;  Gadgets and Accessories
2.63787E+11,WhatsApp Video 2024-04-18 at 06.25.33_298555f4,8,Product Review, Product Review/Recommendation;  Smartphones;  Fashion Trends;  Mobile Phones
2.63787E+11,WhatsApp Video 2024-04-18 at 06.25.33_298555f4,2,Technology, Electronic Devices
2.63787E+11,WhatsApp Video 2024-04-18 at 06.25.33_298555f4,12,Skill Sharing, Team Building;  Social Interaction;  Children;  Children's Education;  Cute Pets;  Gadgets
2.63787E+11,WhatsApp Video 2024-04-18 at 06.25.33_298555f4,2,Outfit Recommendations, Character Analysis;  Fashion Scenarios
2.63787E+11,WhatsApp Video 2024-04-18 at 06.25.33_298555f4,2,Popular Science, Popular Science
2.63787E+11,WhatsApp Video 2024-04-18 at 06.25.33_298555f4,8,Creative Editing/Dubbing, Creative Editing/Dubbing;  Live Streams;  Live Streaming;  Social Media and Streaming
2.63787E+11,WhatsApp Video 2024-04-18 at 06.25.33_298555f4,10,Landscape Photography, College Life;  Street Photography;  Creative Editing/Dubbing;  Outfit Recommendations;  Mobile Devices;  Fashion Photography
2.63787E+11,WhatsApp Video 2024-06-05 at 11.22.33_11506d17,6,Games, Gaming;  Gaming/Virtual Reality;  Gaming and Esports
2.63787E+11,WhatsApp Video 2024-06-05 at 11.22.33_11506d17,2,Celebrity Entertainment, Live Streaming
2.63787E+11,WhatsApp Video 2024-06-05 at 11.22.33_11506d17,2,Celebrity Entertainment, Screen Capture;  Fashion Show
2.63787E+11,WhatsApp Video 2024-06-05 at 11.22.33_11506d17,4,Food, Food Photography;  Social Media and Viral Content
2.63787E+11,WhatsApp Video 2024-06-05 at 11.22.33_11506d17,6,Food, Food Porn;  Food Photography;  Food on Campus
2.63787E+11,WhatsApp Video 2024-06-05 at 11.22.33_11506d17,6,Workplace/Interpersonal Relationships, Relationship Advice;  Fashion Vlogs;  Relationships in the Workplace
2.63787E+11,WhatsApp Video 2024-06-05 at 11.22.33_11506d17,14,Short Skits, Short Skits;  Social Media;  Fashion Vlogs;  Social Media/Videos;  Social Media and Streaming Platforms;  Clothing and Accessories;  Gadgets
2.63787E+11,WhatsApp Video 2024-06-05 at 11.22.33_11506d17,4,Popular Science, Family/Childcare;  Popular Science
2.63787E+11,WhatsApp Video 2024-06-05 at 11.22.33_11506d17,14,Outfit Recommendations, On-the-go Learning;  Fashion Trends;  Transportation;  Social Media;  Campus Life;  Social Media;  Fashion Inspiration
2.63787E+11,WhatsApp Video 2024-06-05 at 11.22.33_11506d17,2,Outfit Recommendations, Fashion Blogging/Vlogging
2.63787E+11,WhatsApp Video 2024-06-05 at 11.22.33_11506d17,16,Education and Campus, Campus Life;  Workplace Culture;  Social Media;  Popular Science;  Fashion/Style
2.63787E+11,WhatsApp Video 2024-06-05 at 11.22.33_11506d17,2,Social and Political News, Social Media
2.63787E+11,WhatsApp Video 2024-06-05 at 11.22.33_11506d17,22,Outfit Recommendations,Others;  Fashionable Outfits for Black Screen Videos;  Workplace Dynamics;  Science and Technology News;  Mobile Games;  Workplace Culture and Practices;  Social Media;  Popular Science;  Sports;  Vlog/Insights Sharing;  Mobile Technology;  Gaming;  Gaming
2.63787E+11,WhatsApp Video 2024-06-05 at 11.22.33_11506d17,2,Food, Cooking Equipment
2.63787E+11,WhatsApp Video 2024-06-05 at 11.22.33_11506d17,6,Outfit Recommendations, Fashion Accessories;  Product Reviews;  Food for Students
